,Application#,Application Type,Date,Status,ProjectName
8,19 109266 HVA 00,Mechanical(MS),"Jan 28, 2019",Inspection,1240 BAY ST
9,18 121976 HVA 00,Mechanical(MS),"Mar 13, 2018",Permit Issued,1240 BAY ST
10,18 121976 PLB 00,Plumbing(PS),"Mar 13, 2018",Permit Issued,1240 BAY ST
11,18 121976 BLD 00,Building Additions/Alterations,"Feb 27, 2018",Permit Issued,1240 BAY ST
12,17 276792 BLD 00,Building Additions/Alterations,"Dec 19, 2017",Inspection,1240 BAY ST
13,17 262811 HVA 00,Mechanical(MS),"Dec 1, 2017",Permit Issued,1240 BAY ST
14,17 262811 PLB 00,Plumbing(PS),"Dec 1, 2017",Permit Issued,1240 BAY ST
15,17 262811 BLD 00,Building Additions/Alterations,"Nov 21, 2017",Permit Issued,1240 BAY ST
16,17 221563 HVA 00,Mechanical(MS),"Aug 31, 2017",Permit Issued,1240 BAY ST
17,17 221563 BLD 00,Building Additions/Alterations,"Aug 23, 2017",Permit Issued,1240 BAY ST
18,16 170942 BLD 00,Building Additions/Alterations,"Jun 9, 2016",Inspection,1240 BAY ST
19,14 245795 BLD 00,Building Additions/Alterations,"Oct 30, 2014",Permit Issued,1240 BAY ST
20,14 232978 PSA 00,Plumbing(PS),"Oct 6, 2014",Permit Issued,1240 BAY ST
21,13 252676 BLD 00,Building Additions/Alterations,"Oct 18, 2013",Inspection,1240 BAY ST
22,13 150089 PLB 00,Plumbing(PS),"Apr 16, 2013",Inspection,1240 BAY ST
23,13 150089 BLD 00,Building Additions/Alterations,"Apr 15, 2013",Inspection,1240 BAY ST
0,15 107937 BLD 00,Building Additions/Alterations,"Jan 23, 2015",Inspection,1250 BAY ST
1,14 108304 HVA 00,Mechanical(MS),"Jan 27, 2014",Permit Issued,1250 BAY ST
0,22 162214 BLD 00,Building Additions/Alterations,"Jun 24, 2022",Permit Issued,1255 BAY ST
1,22 115432 HVA 00,Mechanical(MS),"Feb 22, 2022",Permit Issued,1255 BAY ST
2,22 115432 PLB 00,Plumbing(PS),"Feb 22, 2022",Permit Issued,1255 BAY ST
3,22 115432 BLD 00,Building Additions/Alterations,"Feb 18, 2022",Permit Issued,1255 BAY ST
4,20 115685 HVA 00,Mechanical(MS),"Feb 18, 2020",Permit Issued,1255 BAY ST
5,20 115685 BLD 00,Building Additions/Alterations,"Feb 14, 2020",Permit Issued,1255 BAY ST
6,19 248468 HVA 00,Mechanical(MS),"Nov 14, 2019",Permit Issued,1255 BAY ST
7,19 248468 PLB 00,Plumbing(PS),"Nov 14, 2019",Permit Issued,1255 BAY ST
8,19 248468 BLD 00,Building Additions/Alterations,"Nov 13, 2019",Inspection,1255 BAY ST
0,19 167487 PLB 00,Plumbing(PS),"Jul 4, 2019",Permit Issued,1300 BAY ST
1,19 167487 BLD 00,Building Additions/Alterations,"Jun 13, 2019",Permit Issued,1300 BAY ST
2,15 202016 BLD 00,Building Additions/Alterations,"Aug 6, 2015",Inspection,1300 BAY ST
0,20 143885 FND 00,Conditional Permit,,Inspection,1315 BAY ST
1,20 143885 STR 00,Conditional Permit,,Forwarded for Issuance,1315 BAY ST
2,20 143885 STR 00,Partial Permit,"Mar 15, 2022",Under Review,1315 BAY ST
3,20 143885 BLD 00,New Building,"May 26, 2020",Examiner's Notice Sent,1315 BAY ST
4,20 143885 HVA 00,Mechanical(MS),"May 26, 2020",Ready for Issuance,1315 BAY ST
5,20 143885 PLB 00,Plumbing(PS),"May 26, 2020",Ready for Issuance,1315 BAY ST
6,20 143885 DRN 00,Drain and Site Service,"May 26, 2020",Inspection,1315 BAY ST
7,20 143885 FND 00,Partial Permit,"May 26, 2020",Under Review,1315 BAY ST
8,19 210306 DEM 00,Demolition Folder (DM),"Aug 22, 2019",Permit Issued,1315 BAY ST
0,16 161894 FSU 00,Fire/Security Upgrade,"May 26, 2016",Permit Issued,1331 BAY ST
0,23 119540 FSU 00,Fire/Security Upgrade,"Mar 3, 2023",Not Started,10 BELLAIR ST
1,22 137921 BLD 02,Building Additions/Alterations,"Jan 6, 2023",Revision Issued,10 BELLAIR ST
2,22 231413 FSU 00,Fire/Security Upgrade,"Nov 21, 2022",Permit Issued,10 BELLAIR ST
3,22 215294 BLD 00,Building Additions/Alterations,"Oct 11, 2022",Permit Issued,10 BELLAIR ST
4,22 215304 BLD 00,Building Additions/Alterations,"Oct 11, 2022",Inspection,10 BELLAIR ST
5,22 215304 PLB 00,Plumbing(PS),"Oct 11, 2022",Permit Issued,10 BELLAIR ST
6,22 215304 HVA 00,Mechanical(MS),"Oct 11, 2022",Permit Issued,10 BELLAIR ST
7,22 207732 BLD 00,Building Additions/Alterations,"Sep 23, 2022",Permit Issued,10 BELLAIR ST
8,22 207732 PLB 00,Plumbing(PS),"Sep 23, 2022",Permit Issued,10 BELLAIR ST
9,22 178464 PLB 00,Plumbing(PS),"Aug 11, 2022",Inspection,10 BELLAIR ST
10,22 178464 BLD 00,Building Additions/Alterations,"Jul 19, 2022",Permit Issued,10 BELLAIR ST
11,22 145655 HVA 00,Mechanical(MS),"May 20, 2022",Permit Issued,10 BELLAIR ST
12,22 145655 PLB 00,Plumbing(PS),"May 20, 2022",Inspection,10 BELLAIR ST
13,22 145655 BLD 00,Building Additions/Alterations,"May 19, 2022",Inspection,10 BELLAIR ST
14,22 115427 BLD 00,Building Additions/Alterations,"Feb 22, 2022",Inspection,10 BELLAIR ST
15,21 234993 BLD 00,Building Additions/Alterations,"Nov 15, 2021",Inspection,10 BELLAIR ST
16,19 182978 BLD 01,Building Additions/Alterations,"Jun 1, 2020",Revision Issued,10 BELLAIR ST
17,19 182978 BLD 00,Building Additions/Alterations,"Jul 5, 2019",Permit Issued,10 BELLAIR ST
18,18 241703 HVA 01,Mechanical(MS),"Apr 2, 2019",Revision Issued,10 BELLAIR ST
19,18 241703 HVA 00,Mechanical(MS),"Oct 16, 2018",Inspection,10 BELLAIR ST
20,18 122959 HVA 00,Mechanical(MS),"Mar 6, 2018",Inspection,10 BELLAIR ST
21,18 122959 PLB 00,Plumbing(PS),"Mar 6, 2018",Inspection,10 BELLAIR ST
22,17 265704 BLD 00,Building Additions/Alterations,"Nov 28, 2017",Inspection,10 BELLAIR ST
23,16 268992 BLD 00,Building Additions/Alterations,"Dec 21, 2016",Inspection,10 BELLAIR ST
24,16 119633 BLD 00,Building Additions/Alterations,"Feb 23, 2016",Permit Issued,10 BELLAIR ST
25,15 132813 BLD 00,Building Additions/Alterations,"Mar 27, 2015",Permit Issued,10 BELLAIR ST
26,14 134747 BLD 00,Building Additions/Alterations,"Mar 28, 2014",Inspection,10 BELLAIR ST
27,14 134747 HVA 00,Mechanical(MS),"Mar 28, 2014",Permit Issued,10 BELLAIR ST
28,14 134747 PLB 00,Plumbing(PS),"Mar 28, 2014",Permit Issued,10 BELLAIR ST
0,22 137921 BLD 02,Building Additions/Alterations,"Jan 6, 2023",Revision Issued,10 BELLAIR ST
1,22 137921 BLD 01,Building Additions/Alterations,"Dec 5, 2022",Revision Issued,10 BELLAIR ST
2,22 137921 PLB 01,Plumbing(PS),"Dec 5, 2022",Revision Issued,10 BELLAIR ST
3,22 137921 BLD 00,Building Additions/Alterations,"Apr 25, 2022",Inspection,10 BELLAIR ST
4,22 137921 HVA 00,Mechanical(MS),"Apr 25, 2022",Inspection,10 BELLAIR ST
5,22 137921 PLB 00,Plumbing(PS),"Apr 25, 2022",Inspection,10 BELLAIR ST
0,23 103181 BLD 00,Building Additions/Alterations,"Jan 13, 2023",Inspection,10 BELLAIR ST
0,13 244237 PSA 00,Plumbing(PS),"Oct 1, 2013",Inspection,24 BELLAIR ST
1,13 211051 BLD 00,Building Additions/Alterations,"Jul 26, 2013",Permit Issued,24 BELLAIR ST
2,13 211051 HVA 00,Mechanical(MS),"Jul 26, 2013",Permit Issued,24 BELLAIR ST
3,13 211051 PLB 00,Plumbing(PS),"Jul 26, 2013",Permit Issued,24 BELLAIR ST
0,18 268339 PLB 00,Plumbing(PS),"Jan 2, 2019",Inspection,25 BELLAIR ST
1,18 268339 BLD 00,Building Additions/Alterations,"Dec 14, 2018",Inspection,25 BELLAIR ST
2,15 106746 BLD 00,Building Additions/Alterations,"Feb 19, 2015",Inspection,25 BELLAIR ST
3,15 106746 MSA 00,Mechanical(MS),"Jan 22, 2015",Inspection,25 BELLAIR ST
4,13 244247 PSA 00,Plumbing(PS),"Oct 1, 2013",Inspection,25 BELLAIR ST
0,22 144674 HVA 00,Mechanical(MS),"May 11, 2022",Permit Issued,26 BELLAIR ST
1,22 144674 PLB 00,Plumbing(PS),"May 11, 2022",Permit Issued,26 BELLAIR ST
2,22 144674 BLD 00,Building Additions/Alterations,"May 10, 2022",Permit Issued,26 BELLAIR ST
0,21 129597 BLD 00,Small Residential Projects,"Mar 25, 2021",Inspection,21 BELMONT ST
0,21 146334 BLD 00,Small Residential Projects,"Apr 28, 2021",Permit Issued,23 BELMONT ST
0,14 157755 BLD 01,Building Additions/Alterations,"Aug 15, 2014",Revision Issued,55 BELMONT ST
1,14 157755 BLD 00,Building Additions/Alterations,"May 20, 2014",Inspection,55 BELMONT ST
0,22 193172 BLD 00,Building Additions/Alterations,"Sep 18, 2022",Permit Issued,7 BERRYMAN ST
1,16 169719 BLD 01,Building Additions/Alterations,"Aug 23, 2016",Revision Issued,7 BERRYMAN ST
2,16 169719 HVA 00,Mechanical(MS),"Aug 23, 2016",Inspection,7 BERRYMAN ST
3,16 169719 BLD 00,Building Additions/Alterations,"Jun 10, 2016",Inspection,7 BERRYMAN ST
0,21 155211 BLD 00,Small Residential Projects,"May 20, 2021",Inspection,23 BERRYMAN ST
1,21 155211 HVA 00,Mechanical(MS),"May 20, 2021",Inspection,23 BERRYMAN ST
2,21 155211 PLB 00,Plumbing(PS),"May 20, 2021",Inspection,23 BERRYMAN ST
3,20 209472 BLD 00,Small Residential Projects,"Oct 22, 2020",Inspection,23 BERRYMAN ST
0,21 199864 BLD 00,Building Additions/Alterations,"Aug 17, 2021",Inspection,85 BLEECKER ST
1,15 140041 PSA 00,Plumbing(PS),"Apr 13, 2015",Permit Issued,85 BLEECKER ST
0,23 122612 DRN 00,Drain and Site Service,"Mar 13, 2023",Closed,86 BLEECKER ST
0,16 117332 BLD 00,Small Residential Projects,"Feb 18, 2016",Inspection,92 BLEECKER ST
0,22 136872 BLD 00,Small Residential Projects,"Apr 21, 2022",Permit Issued,94 BLEECKER ST
1,22 136872 PLB 00,Plumbing(PS),"Apr 21, 2022",Permit Issued,94 BLEECKER ST
2,22 100946 BLD 00,Small Residential Projects,"Jan 7, 2022",Permit Issued,94 BLEECKER ST
0,22 136885 BLD 00,Small Residential Projects,"Apr 21, 2022",Inspection,96 BLEECKER ST
1,21 246901 PLB 00,Plumbing(PS),"Dec 15, 2021",Inspection,96 BLEECKER ST
2,21 246901 HVA 00,Mechanical(MS),"Dec 15, 2021",Permit Issued,96 BLEECKER ST
3,21 246901 BLD 00,Small Residential Projects,"Dec 13, 2021",Inspection,96 BLEECKER ST
0,21 199864 BLD 00,Building Additions/Alterations,"Aug 17, 2021",Inspection,101 BLEECKER ST
1,17 129791 BLD 00,Building Additions/Alterations,"Mar 16, 2017",Inspection,101 BLEECKER ST
2,15 140041 PSA 00,Plumbing(PS),"Apr 13, 2015",Permit Issued,101 BLEECKER ST
3,15 140046 PSA 00,Plumbing(PS),"Apr 13, 2015",Permit Issued,101 BLEECKER ST
0,15 213524 BLD 00,Small Residential Projects,"Aug 27, 2015",Inspection,106 BLEECKER ST
0,22 227401 BLD 00,Small Residential Projects,"Nov 9, 2022",Examiner's Notice Sent,108 BLEECKER ST
0,21 214624 PLB 00,Plumbing(PS),"Sep 21, 2021",Inspection,135 BLEECKER ST
1,21 214624 BLD 00,Building Additions/Alterations,"Sep 20, 2021",Inspection,135 BLEECKER ST
2,21 189336 BLD 00,Building Additions/Alterations,"Aug 9, 2021",Permit Issued,135 BLEECKER ST
0,19 224570 BLD 00,Building Additions/Alterations,"Oct 24, 2019",Permit Issued,179 BLEECKER ST
1,17 175103 BLD 00,Small Residential Projects,"Jun 7, 2017",Permit Issued,179 BLEECKER ST
0,22 133467 MSA 00,Mechanical(MS),"Apr 13, 2022",Permit Issued,275 BLEECKER ST
1,20 217118 MSA 00,Mechanical(MS),"Nov 17, 2020",Permit Issued,275 BLEECKER ST
2,19 239972 FSU 00,Fire/Security Upgrade,"Oct 25, 2019",Inspection,275 BLEECKER ST
3,19 139317 PLB 00,Plumbing(PS),"Apr 24, 2019",Permit Issued,275 BLEECKER ST
4,19 140360 BLD 00,Building Additions/Alterations,"Apr 17, 2019",Permit Issued,275 BLEECKER ST
5,19 140360 HVA 00,Mechanical(MS),"Apr 17, 2019",Permit Issued,275 BLEECKER ST
6,19 140360 PLB 00,Plumbing(PS),"Apr 17, 2019",Permit Issued,275 BLEECKER ST
7,19 139317 HVA 00,Mechanical(MS),"Apr 16, 2019",Permit Issued,275 BLEECKER ST
8,19 139754 BLD 00,Building Additions/Alterations,"Apr 15, 2019",Permit Issued,275 BLEECKER ST
9,19 139754 HVA 00,Mechanical(MS),"Apr 15, 2019",Permit Issued,275 BLEECKER ST
10,19 139754 PLB 00,Plumbing(PS),"Apr 15, 2019",Permit Issued,275 BLEECKER ST
11,19 139317 BLD 00,Building Additions/Alterations,"Apr 12, 2019",Permit Issued,275 BLEECKER ST
12,18 259573 PSA 00,Plumbing(PS),"Nov 22, 2018",Permit Issued,275 BLEECKER ST
13,18 231508 BLD 00,Building Additions/Alterations,"Sep 25, 2018",Permit Issued,275 BLEECKER ST
14,18 200721 FSU 00,Fire/Security Upgrade,"Jul 30, 2018",Inspection,275 BLEECKER ST
15,18 177148 FSU 00,Fire/Security Upgrade,"Jun 13, 2018",Inspection,275 BLEECKER ST
16,18 130081 FSU 00,Fire/Security Upgrade,"Mar 19, 2018",Inspection,275 BLEECKER ST
17,18 130208 FSU 00,Fire/Security Upgrade,"Mar 19, 2018",Inspection,275 BLEECKER ST
18,18 120080 PSA 00,Plumbing(PS),"Feb 22, 2018",Refusal Notice,275 BLEECKER ST
19,18 120090 PSA 00,Plumbing(PS),"Feb 22, 2018",Permit Issued,275 BLEECKER ST
20,17 183840 BLD 00,Building Additions/Alterations,"Jun 20, 2017",Inspection,275 BLEECKER ST
21,17 103692 PSA 00,Plumbing(PS),"Jan 13, 2017",Inspection,275 BLEECKER ST
0,20 217118 MSA 00,Mechanical(MS),"Nov 17, 2020",Permit Issued,325 BLEECKER ST
1,19 139317 PLB 00,Plumbing(PS),"Apr 24, 2019",Permit Issued,325 BLEECKER ST
2,19 139317 HVA 00,Mechanical(MS),"Apr 16, 2019",Permit Issued,325 BLEECKER ST
3,19 139317 BLD 00,Building Additions/Alterations,"Apr 12, 2019",Permit Issued,325 BLEECKER ST
4,18 130208 FSU 00,Fire/Security Upgrade,"Mar 19, 2018",Inspection,325 BLEECKER ST
0,19 140360 BLD 00,Building Additions/Alterations,"Apr 17, 2019",Permit Issued,375 BLEECKER ST
1,19 140360 HVA 00,Mechanical(MS),"Apr 17, 2019",Permit Issued,375 BLEECKER ST
2,19 140360 PLB 00,Plumbing(PS),"Apr 17, 2019",Permit Issued,375 BLEECKER ST
3,18 130081 FSU 00,Fire/Security Upgrade,"Mar 19, 2018",Inspection,375 BLEECKER ST
0,22 141771 HVA 00,Mechanical(MS),"May 31, 2022",Permit Issued,1 BLOOR ST W
1,22 141771 PLB 00,Plumbing(PS),"May 31, 2022",Permit Issued,1 BLOOR ST W
2,22 141771 BLD 00,Building Additions/Alterations,"May 27, 2022",Permit Issued,1 BLOOR ST W
3,22 102049 BLD 00,Building Additions/Alterations,"Jan 10, 2022",Inspection,1 BLOOR ST W
4,22 102049 HVA 00,Mechanical(MS),"Jan 10, 2022",Permit Issued,1 BLOOR ST W
5,22 102049 PLB 00,Plumbing(PS),"Jan 10, 2022",Permit Issued,1 BLOOR ST W
6,21 247526 BLD 00,Building Additions/Alterations,"Dec 29, 2021",Permit Issued,1 BLOOR ST W
7,21 247526 HVA 00,Mechanical(MS),"Dec 29, 2021",Permit Issued,1 BLOOR ST W
8,21 247526 PLB 00,Plumbing(PS),"Dec 29, 2021",Permit Issued,1 BLOOR ST W
9,15 260226 BLD 04,Building Additions/Alterations,"Aug 12, 2019",Revision Issued,1 BLOOR ST W
10,19 106142 HVA 00,Mechanical(MS),"Apr 5, 2019",Inspection,1 BLOOR ST W
11,19 106142 PLB 00,Plumbing(PS),"Apr 4, 2019",Inspection,1 BLOOR ST W
12,19 106142 DRN 00,Drain and Site Service,"Apr 4, 2019",Inspection,1 BLOOR ST W
13,19 106142 BLD 00,New Building,"Apr 3, 2019",Inspection,1 BLOOR ST W
14,15 260226 BLD 03,Building Additions/Alterations,"May 4, 2018",Revision Issued,1 BLOOR ST W
15,15 260226 BLD 02,Building Additions/Alterations,"Mar 19, 2018",Revision Issued,1 BLOOR ST W
16,15 260226 BLD 01,Building Additions/Alterations,"Dec 13, 2016",Revision Issued,1 BLOOR ST W
17,15 260226 BLD 00,Building Additions/Alterations,"Dec 3, 2015",Inspection,1 BLOOR ST W
0,22 133611 FSU 00,Fire/Security Upgrade,"Apr 19, 2022",Permit Issued,1 BLOOR ST E
1,10 299436 HVA 02,Mechanical(MS),"Mar 7, 2022",Revision Issued,1 BLOOR ST E
2,10 299436 PLB 02,Plumbing(PS),"Mar 7, 2022",Revision Issued,1 BLOOR ST E
3,10 299436 BLD 04,New Building,"Sep 27, 2021",Revision Issued,1 BLOOR ST E
4,20 108237 HVA 00,Mechanical(MS),"Jan 24, 2020",Inspection,1 BLOOR ST E
5,17 275306 BLD 02,Building Additions/Alterations,"Nov 8, 2018",Revision Issued,1 BLOOR ST E
6,17 275306 HVA 02,Mechanical(MS),"Nov 8, 2018",Revision Issued,1 BLOOR ST E
7,10 299436 BLD 03,New Building,"Aug 21, 2018",Revision Issued,1 BLOOR ST E
8,18 174448 BLD 00,Building Additions/Alterations,"Jun 8, 2018",Inspection,1 BLOOR ST E
9,18 174464 BLD 00,Building Additions/Alterations,"Jun 8, 2018",Inspection,1 BLOOR ST E
10,18 174464 HVA 00,Mechanical(MS),"Jun 8, 2018",Permit Issued,1 BLOOR ST E
11,17 275306 BLD 01,Building Additions/Alterations,"May 15, 2018",Revision Issued,1 BLOOR ST E
12,17 275306 PLB 01,Plumbing(PS),"May 15, 2018",Revision Issued,1 BLOOR ST E
13,17 275306 HVA 01,Mechanical(MS),"May 15, 2018",Revision Issued,1 BLOOR ST E
14,18 139649 PLB 00,Plumbing(PS),"Apr 9, 2018",Inspection,1 BLOOR ST E
15,18 139649 BLD 00,Building Additions/Alterations,"Apr 6, 2018",Inspection,1 BLOOR ST E
16,17 178170 BLD 01,Building Additions/Alterations,"Jan 22, 2018",Revision Issued,1 BLOOR ST E
17,18 104503 FSU 00,Fire/Security Upgrade,"Jan 15, 2018",Permit Issued,1 BLOOR ST E
18,17 275306 HVA 00,Mechanical(MS),"Jan 11, 2018",Permit Issued,1 BLOOR ST E
19,17 275306 PLB 00,Plumbing(PS),"Jan 11, 2018",Inspection,1 BLOOR ST E
20,17 275306 BLD 00,Building Additions/Alterations,"Dec 13, 2017",Inspection,1 BLOOR ST E
21,17 178170 BLD 00,Building Additions/Alterations,"Jun 13, 2017",Inspection,1 BLOOR ST E
22,10 299436 BLD 02,New Building,"Aug 25, 2016",Revision Issued,1 BLOOR ST E
23,10 299436 HVA 01,Mechanical(MS),"Aug 25, 2016",Revision Issued,1 BLOOR ST E
24,10 299436 PLB 01,Plumbing(PS),"Aug 25, 2016",Revision Issued,1 BLOOR ST E
25,13 231489 FSU 01,Fire/Security Upgrade,"Jun 26, 2015",Revision Issued,1 BLOOR ST E
26,10 299436 BLD 01,New Building,"Apr 2, 2015",Revision Issued,1 BLOOR ST E
27,13 231489 FSU 00,Fire/Security Upgrade,"Sep 6, 2013",Inspection,1 BLOOR ST E
0,22 242834 HVA 00,Mechanical(MS),"Dec 30, 2022",Permit Issued,2 BLOOR ST E
1,22 242834 PLB 00,Plumbing(PS),"Dec 30, 2022",Permit Issued,2 BLOOR ST E
2,22 242834 BLD 00,Building Additions/Alterations,"Dec 29, 2022",Permit Issued,2 BLOOR ST E
3,22 231516 FSU 00,Fire/Security Upgrade,"Nov 22, 2022",Permit Issued,2 BLOOR ST E
4,22 225165 BLD 00,Building Additions/Alterations,"Nov 3, 2022",Inspection,2 BLOOR ST E
5,22 225165 HVA 00,Mechanical(MS),"Nov 3, 2022",Permit Issued,2 BLOOR ST E
6,22 221145 FSU 00,Fire/Security Upgrade,"Nov 2, 2022",Permit Issued,2 BLOOR ST E
7,22 202509 HVA 00,Mechanical(MS),"Sep 14, 2022",Inspection,2 BLOOR ST E
8,22 202509 PLB 00,Plumbing(PS),"Sep 14, 2022",Inspection,2 BLOOR ST E
9,22 202509 BLD 00,Building Additions/Alterations,"Sep 13, 2022",Inspection,2 BLOOR ST E
10,22 184078 BLD 00,Building Additions/Alterations,"Aug 2, 2022",Permit Issued,2 BLOOR ST E
11,22 165438 BLD 00,Building Additions/Alterations,"Jun 21, 2022",Closed,2 BLOOR ST E
12,22 165438 HVA 00,Mechanical(MS),"Jun 21, 2022",Closed,2 BLOOR ST E
13,22 165438 PLB 00,Plumbing(PS),"Jun 21, 2022",Closed,2 BLOOR ST E
14,21 251663 BLD 00,Building Additions/Alterations,"Jan 11, 2022",Inspection,2 BLOOR ST E
15,21 251663 HVA 00,Mechanical(MS),"Jan 11, 2022",Permit Issued,2 BLOOR ST E
16,21 251663 PLB 00,Plumbing(PS),"Jan 11, 2022",Inspection,2 BLOOR ST E
17,20 154478 FSU 03,Fire/Security Upgrade,"Jan 6, 2022",Revision Issued,2 BLOOR ST E
18,21 218957 BLD 00,Building Additions/Alterations,"Sep 29, 2021",Inspection,2 BLOOR ST E
19,21 218957 HVA 00,Mechanical(MS),"Sep 29, 2021",Permit Issued,2 BLOOR ST E
20,21 208398 BLD 00,Building Additions/Alterations,"Sep 17, 2021",Inspection,2 BLOOR ST E
21,21 208398 HVA 00,Mechanical(MS),"Sep 17, 2021",Inspection,2 BLOOR ST E
22,21 208985 FSU 00,Fire/Security Upgrade,"Sep 17, 2021",Permit Issued,2 BLOOR ST E
23,21 137977 BLD 01,Building Additions/Alterations,"Aug 19, 2021",Revision Issued,2 BLOOR ST E
24,21 172457 BLD 00,Building Additions/Alterations,"Jun 23, 2021",Inspection,2 BLOOR ST E
25,21 172457 HVA 00,Mechanical(MS),"Jun 23, 2021",Permit Issued,2 BLOOR ST E
26,21 172457 PLB 00,Plumbing(PS),"Jun 23, 2021",Inspection,2 BLOOR ST E
27,21 167602 FSU 00,Fire/Security Upgrade,"Jun 9, 2021",Permit Issued,2 BLOOR ST E
28,21 163134 BLD 00,Building Additions/Alterations,"Jun 1, 2021",Permit Issued,2 BLOOR ST E
29,21 163134 HVA 00,Mechanical(MS),"Jun 1, 2021",Permit Issued,2 BLOOR ST E
30,21 163134 PLB 00,Plumbing(PS),"Jun 1, 2021",Inspection,2 BLOOR ST E
31,20 154478 FSU 02,Fire/Security Upgrade,"May 20, 2021",Revision Issued,2 BLOOR ST E
32,21 137977 BLD 00,Building Additions/Alterations,"Apr 9, 2021",Permit Issued,2 BLOOR ST E
33,21 134143 BLD 00,Building Additions/Alterations,"Mar 31, 2021",Inspection,2 BLOOR ST E
34,21 131290 FSU 00,Fire/Security Upgrade,"Mar 25, 2021",Permit Issued,2 BLOOR ST E
35,21 121877 FSU 00,Fire/Security Upgrade,"Mar 3, 2021",Permit Issued,2 BLOOR ST E
36,21 107093 BLD 00,Building Additions/Alterations,"Jan 26, 2021",Permit Issued,2 BLOOR ST E
37,20 221934 FSU 00,Fire/Security Upgrade,"Nov 24, 2020",Permit Issued,2 BLOOR ST E
38,20 154478 FSU 01,Fire/Security Upgrade,"Sep 3, 2020",Revision Issued,2 BLOOR ST E
39,19 126999 HVA 02,Mechanical(MS),"Jul 23, 2020",Revision Issued,2 BLOOR ST E
40,20 161411 BLD 00,Building Additions/Alterations,"Jun 30, 2020",Permit Issued,2 BLOOR ST E
41,20 154478 FSU 00,Fire/Security Upgrade,"Jun 11, 2020",Permit Issued,2 BLOOR ST E
42,20 147750 SGN 00,Sign Permit,"May 27, 2020",Inspection,2 BLOOR ST E
43,20 147750 DST 00,Designated Structures,"May 27, 2020",Permit Issued,2 BLOOR ST E
44,19 126999 BLD 01,Building Additions/Alterations,"Apr 20, 2020",Revision Issued,2 BLOOR ST E
45,19 126999 HVA 01,Mechanical(MS),"Apr 20, 2020",Revision Issued,2 BLOOR ST E
46,19 137647 BLD 00,Building Additions/Alterations,"Apr 9, 2019",Inspection,2 BLOOR ST E
47,19 137647 HVA 00,Mechanical(MS),"Apr 9, 2019",Inspection,2 BLOOR ST E
48,19 126999 HVA 00,Mechanical(MS),"Mar 29, 2019",Inspection,2 BLOOR ST E
49,19 126999 BLD 00,Building Additions/Alterations,"Mar 25, 2019",Inspection,2 BLOOR ST E
50,19 114059 BLD 00,Building Additions/Alterations,"Feb 11, 2019",Inspection,2 BLOOR ST E
51,18 245425 BLD 00,Building Additions/Alterations,"Oct 19, 2018",Permit Issued,2 BLOOR ST E
52,18 119017 BLD 00,Building Additions/Alterations,"Feb 20, 2018",Inspection,2 BLOOR ST E
53,18 119017 HVA 00,Mechanical(MS),"Feb 20, 2018",Inspection,2 BLOOR ST E
54,18 119017 PLB 00,Plumbing(PS),"Feb 20, 2018",Inspection,2 BLOOR ST E
55,17 269484 BLD 00,Building Additions/Alterations,"Nov 30, 2017",Permit Issued,2 BLOOR ST E
56,17 263588 BLD 00,Building Additions/Alterations,"Nov 16, 2017",Inspection,2 BLOOR ST E
57,17 239859 BLD 00,Building Additions/Alterations,"Sep 27, 2017",Permit Issued,2 BLOOR ST E
58,17 186642 BLD 00,Building Additions/Alterations,"Jul 4, 2017",Inspection,2 BLOOR ST E
59,17 154429 BLD 00,Building Additions/Alterations,"May 10, 2017",Permit Issued,2 BLOOR ST E
60,17 112646 MSA 00,Mechanical(MS),"Feb 3, 2017",Permit Issued,2 BLOOR ST E
61,16 271334 HVA 00,Mechanical(MS),"Jan 6, 2017",Permit Issued,2 BLOOR ST E
62,16 271334 BLD 00,Building Additions/Alterations,"Dec 29, 2016",Permit Issued,2 BLOOR ST E
63,16 270340 BLD 00,Building Additions/Alterations,"Dec 23, 2016",Permit Issued,2 BLOOR ST E
64,16 262068 BLD 00,Building Additions/Alterations,"Dec 9, 2016",Inspection,2 BLOOR ST E
65,16 200354 BLD 00,Building Additions/Alterations,"Aug 3, 2016",Permit Issued,2 BLOOR ST E
66,16 190858 BLD 00,Building Additions/Alterations,"Jul 14, 2016",Inspection,2 BLOOR ST E
67,15 231581 BLD 00,Building Additions/Alterations,"Oct 1, 2015",Permit Issued,2 BLOOR ST E
68,15 157985 BLD 00,Building Additions/Alterations,"May 15, 2015",Permit Issued,2 BLOOR ST E
69,15 150072 BLD 00,Building Additions/Alterations,"May 5, 2015",Permit Issued,2 BLOOR ST E
70,15 117390 BLD 00,Building Additions/Alterations,"Feb 23, 2015",Permit Issued,2 BLOOR ST E
71,15 117390 HVA 00,Mechanical(MS),"Feb 23, 2015",Permit Issued,2 BLOOR ST E
72,14 233857 BLD 00,Building Additions/Alterations,"Oct 14, 2014",Permit Issued,2 BLOOR ST E
73,14 233857 HVA 00,Mechanical(MS),"Oct 14, 2014",Permit Issued,2 BLOOR ST E
74,14 147220 BLD 00,Building Additions/Alterations,"Apr 30, 2014",Inspection,2 BLOOR ST E
75,14 130118 FSU 00,Fire/Security Upgrade,"Mar 19, 2014",Inspection,2 BLOOR ST E
76,13 273059 BLD 00,Building Additions/Alterations,"Dec 3, 2013",Inspection,2 BLOOR ST E
